text,score,neg_score,neu_score,pos_score,label
"This looks great, will check it out. Surprised they don't provide this feature themselves",2,0.008371367,0.025595654,0.966033,positive
Super thrilled you’ve done this! 1 small thing: I have 2 accounts and the app auth chokes on this - see screenshot [Acc choose error](https://pasteboard.co/HXZoISU.png) ,2,0.055225573,0.14788406,0.7968903,positive
Love it but unfortunately I'm on Android. ,2,0.35648593,0.2704383,0.37307575,positive
From 10th June 2021 this will be the pricing for BP Pulse chargers where BP themselves set the pricing. If charging from 50 kW rapids you’d now need to buy more than 196.25 kWh per month to make membership worthwhile,2,0.045968246,0.89849836,0.05553342,neutral
I’m confused by this email. My workplace has “free” BP Pulse 7.5kwh charging stations - do these remain free??,1,0.20131709,0.7654374,0.03324547,neutral
"I have to admit, I have 0 idea how much I spend on charging. I currently have a genie point right next to my flat that I just pop to once a fortnight and slap on fast charge for half an hour. I should really pay attention to these things now...",1,0.7320356,0.23155291,0.03641149,negative
"This is what I’ve been waiting for. The sooner the network adopts this method, the better. ",2,0.0057874094,0.053832,0.94038063,positive
This one looks like it has 43kw AC but the ones recently built near me are 22kw :(. It seems like a trend. The contactless is great tho.,2,0.49815598,0.33138436,0.17045966,negative
"I’ve answered your questionnaire. Good luck with the investigation, it would be good to see your findings when you’re complete.",2,0.005440954,0.090637356,0.90392166,positive
Seems poorly planned not having chargers a visitor can use..hope you got a charge somewhere and updated the info!,2,0.77694887,0.20861383,0.014437334,negative
"You’d say it’s a shame, it was a great idea to help people either fill stop gaps who want EVs, or need a nudge to over come potential anxieties. There are a couple of others, I hope some of them make it, ot their investors aren’t scared off by Ontos collapse.",2,0.45856002,0.3953714,0.14606853,negative
I'm an ex-Onto customer. Just heard about the issue and went straight to the community forum to see what's being said but cannot log in. What have customers being told? What will happen to their cars?,2,0.65493095,0.3332905,0.011778508,negative
[First UK electric car subscription](http://on.to),1,0.011759703,0.8808905,0.10734983,neutral
"Just put a review on Trust pilot. It's the critical one about blowing 150m on 7x fleet expansion without doing thorough risk scenario planning. On.to went to Vegas and a roulette table. Bet it all on black but zero came out. Such a shame as they were very good. Crazy, desperate business strategy... The only value left in On.to is the lessons learnt case studies. As an ex customer, they were brilliant though right up to the end and the increases in subscription costs plus reduced mileage. It is a shame. 3 Audis from them, all great. Shame!",1,0.7993899,0.1676547,0.032955375,negative
Guess not. Here is the video anyway. https://youtu.be/UHQRP-WvnhE,1,0.15962969,0.73151976,0.10885047,neutral
"No experience with EV, but I am thinking about it for my next car. My commute is a 32 mile round trip. I can go on an A road most of the way, but I prefer the scenic route along B roads, through towns and villages. Plus, the company I work for have installed 3 EV charge points in the company car park! I've pretty much dismissed anything described as a town car (e.g. electric mini, etc). Have you considered Kia's range? * E-Soul - looks fugly though * E-Niro - good reviews, often in comparison to the Kona. Getting them is like hen's teeth apparently. I have a petrol Kia Cee'd currently, and they do a 7-year warranty on all their cars. Probably not so much of a worry if you're going to lease or use PCP. I looked at the Skoda Enyaq 60, the reviews were a little mixed. No real technical issues, mainly down to styling. I've previously owned a Skoda (Diesel), they are solid cars too.",2,0.03895686,0.5083388,0.45270437,neutral
I have a kona coming on Wednesday lease around £300 and it has nearly 300mile range. I think you will be really happy with this new generation from your leaf. The e-Niro is the same car as kona but a little bigger back seat and boot but I liked the kona looks and options better plus still eligible for government grant.,1,0.002978471,0.05394511,0.9430764,positive
